ID,Date,Launcher,Game
1,2023-11-10,Epic Games Store,Golden Light
2,2023-11-16,Steam,Half-Life
3,2023-11-16,Epic Games Store,EARTHLOCK
4,2023-11-16,Epic Games Store,Surviving the Aftermath
5,2023-11-23,Gog.com,Styx: Shards of Darkness
6,2023-11-24,Epic Games Store,Deliver Us Mars
7,2023-11-24,Fanatical,The Ramp
8,2023-11-29,Ubisoft Store,Assassin's Creed Syndicate
9,2023-12-01,Epic Games Store,Jitsu Squad
10,2023-12-01,Epic Games Store,Mighty Fight Federation
11,2023-12-03,Steam,HAWKED
12,2023-12-06,Fanatical,DESOLATE
13,2023-12-07,Epic Games Store,Predecessor
14,2023-12-07,Epic Games Store,GigaBash
